freq,effect,unit,geo	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,L_ORD,NR,LV	0.12 	0.10 	0.10 	0.51 	1.01 	1.03 	0.78 	0.60 	0.74 	0.69 	0.80 	0.84 	0.53 	0.47 	1.07 	1.18 
A,L_ORD,NR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.84 	: 	2.05 
A,L_ORD,NR,MT	7.39 	4.12 	0.59 	4.16 	5.40 	5.77 	2.31 	1.31 	0.92 	1.03 	1.08 	1.25 	1.15 	1.35 	1.48 	1.69 
A,L_ORD,NR,NL	2.02 	2.16 	1.80 	1.77 	1.63 	1.93 	2.00 	1.12 b	1.49 	1.21 	1.04 	1.47 	1.21 	0.99 	0.89 	1.19 
A,L_ORD,NR,NO	: 	: 	: 	2.95 	2.77 	2.67 	2.60 	2.65 	2.95 	1.86 	: 	: 	0.70 	: 	: 	0.73 
A,L_ORD,NR,PL	0.21 	0.31 	0.28 	0.20 	0.21 	0.24 	0.27 	0.36 	0.53 	0.65 	0.77 	0.77 	0.29 	0.28 	0.21 	0.28 
A,L_ORD,NR,PT	0.78 	0.97 	0.89 	0.81 	0.81 	0.52 	0.37 	0.49 	0.60 	0.56 	0.45 	0.58 	0.31 	0.16 	0.21 	0.15 
A,L_ORD,NR,RO	0.18 	0.25 	0.17 	0.15 	0.15 	0.11 	0.10 	0.10 	0.10 	0.10 	0.11 	0.17 	0.12 	0.14 	0.26 	0.38 
A,L_ORD,NR,SE	1.37 	1.92 	2.16 	1.87 	2.10 	1.54 	1.48 	1.86 	1.79 	2.05 	2.20 	2.08 	1.58 	1.39 	1.42 	1.32 
A,L_ORD,NR,SI	0.77 	0.52 	1.67 	2.15 	1.00 	0.51 	0.50 	0.50 	0.67 	0.59 	0.62 	0.99 	0.77 	0.65 	0.80 	1.24 
A,L_ORD,NR,SK	0.31 	0.22 	0.16 	0.11 	0.09 	0.10 	0.17 	0.29 	0.32 	0.44 	0.46 	0.35 	0.16 	0.19 	0.30 	0.25 
A,PRES_NLEG,NR,AT	1.75 	2.06 	1.82 	2.40 	2.75 	3.07 	3.89 	10.04 	5.72 	3.04 	2.14 	1.82 	2.10 	4.30 	11.75 	6.53 
A,PRES_NLEG,NR,BE	1.29 	1.27 	1.12 	1.23 	1.36 	1.35 	1.39 	1.45 	1.71 	1.61 	1.68 	1.53 	1.00 	0.94 	0.94 	0.92 
A,PRES_NLEG,NR,BG	0.19 	0.20 	0.23 	0.18 	0.28 	0.72 	1.78 	2.89 	1.97 	0.37 	0.19 	0.09 	0.10 	0.46 	1.48 	3.54 
A,PRES_NLEG,NR,CH	: 	1.52 	1.54 	1.60 	1.78 	1.87 	1.70 	1.89 	1.89 	1.66 	1.70 	1.62 	1.28 	1.40 	1.73 	: 
A,PRES_NLEG,NR,CY	9.02 	10.07 	9.77 	9.80 	9.10 	8.10 	5.80 	4.98 	4.07 	4.78 	6.99 	10.15 	7.00 	12.47 	23.24 	10.99 
A,PRES_NLEG,NR,CZ	0.32 	0.38 	0.25 	0.29 	0.32 	0.35 	0.42 	0.77 	0.46 	0.41 	0.42 	0.47 	0.61 	1.05 	2.77 	1.03 
A,PRES_NLEG,NR,DE	0.65 	0.60 	0.61 	0.70 	0.81 	1.07 	1.59 	4.64 	4.51 	1.90 	1.62 	1.61 	1.42 	1.45 	2.38 	3.13 
A,PRES_NLEG,NR,DK	0.11 	0.12 	0.12 	0.07 	0.11 	0.07 	0.09 	0.38 	0.24 	0.19 	0.20 	0.21 	0.08 	0.07 	0.09 	0.19 
A,PRES_NLEG,NR,EE	0.79 	0.65 	0.65 	0.77 	0.68 	0.69 	0.55 	0.74 	0.50 	0.57 	0.74 	0.98 	1.00 	0.64 	0.80 	0.67 
A,PRES_NLEG,NR,EL	9.65 	9.76 	10.40 	7.99 	6.53 	3.87 	6.74 	83.94 	18.99 	6.33 	8.69 	11.47 	4.41 	3.56 	4.69 	6.92 
A,PRES_NLEG,NR,ES	2.03 	1.96 	1.51 	1.47 	1.12 	0.99 	1.03 	0.92 	0.80 	0.96 	1.68 	1.34 	1.53 	0.65 	1.44 	1.89 
A,PRES_NLEG,NR,EU27_2020	: 	: 	: 	: 	: 	0.89 	1.37 b	4.70 b	2.08 	1.27 	1.28 	1.41 	1.25 	1.52 	2.51 	2.82 
A,PRES_NLEG,NR,FI	1.01 	1.25 	0.70 	0.61 	0.67 	0.62 	0.54 	2.61 	0.39 	0.17 	0.24 	0.22 	0.21 	0.20 	0.21 	0.20 
A,PRES_NLEG,NR,FR	1.74 	1.19 	0.87 	0.89 	0.76 	0.75 	1.46 b	1.65 	1.38 	1.72 	1.58 	1.79 	1.54 	1.73 	1.69 	1.75 
A,PRES_NLEG,NR,HR	: 	: 	: 	: 	: 	0.97 	0.59 	0.78 	0.79 	0.84 	1.36 	3.34 	5.48 	3.35 	11.35 	17.64 
A,PRES_NLEG,NR,HU	0.53 	0.68 	0.70 	0.97 	1.23 	2.90 	5.69 	43.03 	4.23 	2.63 	1.93 	3.73 	9.15 	13.79 	22.97 	16.64 
A,PRES_NLEG,NR,IE	0.71 	1.11 	0.95 	0.54 	0.44 	0.32 	0.19 	0.50 	0.49 	0.58 	0.47 	0.57 	0.22 	0.11 	0.25 	0.28 
A,PRES_NLEG,NR,IS	0.03 	0.09 	: 	: 	: 	: 	: 	: 	0.09 	0.05 	: 	0.31 	: 	0.35 	: 	: 
A,PRES_NLEG,NR,IT	1.16 	0.91 	0.79 	0.50 	0.49 	0.40 	0.42 	0.45 	0.53 	0.60 	0.44 	0.45 	0.38 	1.55 	2.34 	3.30 
A,PRES_NLEG,NR,LI	0.40 	0.17 	0.14 	0.00 	0.00 	0.08 	0.00 	2.89 	1.01 	0.93 	0.89 	0.42 	1.86 	1.46 	0.51 	0.35 
A,PRES_NLEG,NR,LT	0.28 	0.47 	0.43 	0.62 	0.69 	0.64 	0.84 	0.70 	0.67 	0.78 	0.95 	0.87 	0.70 	1.80 	1.23 	1.48 
A,PRES_NLEG,NR,LU	: 	0.53 	0.43 	0.52 	0.66 	0.49 	0.80 	0.34 	0.25 	0.51 	0.53 	0.95 	1.18 	1.64 	1.58 	1.58 
A,PRES_NLEG,NR,LV	0.14 	0.11 	0.09 	0.06 	0.10 	0.09 	0.13 	0.37 	0.38 	0.21 	0.20 	0.11 	0.06 	0.09 	7.24 	7.54 
A,PRES_NLEG,NR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.82 	1.65 	1.62 
A,PRES_NLEG,NR,MT	7.39 	4.12 	0.59 	4.16 	5.40 	5.77 	2.31 	1.31 	1.00 	1.16 	1.08 	1.25 	1.15 	1.58 	2.70 	3.13 
A,PRES_NLEG,NR,NL	0.46 	0.46 	0.46 	0.37 	0.24 	0.16 	0.16 	0.19 b	0.16 	0.12 	0.16 	0.21 	0.21 	0.29 	0.31 	0.37 
A,PRES_NLEG,NR,NO	0.16 	0.33 	0.50 	0.39 	0.55 	0.63 	0.73 	1.06 	1.02 	0.73 	0.61 	0.55 	0.35 	0.27 	0.43 	0.61 
A,PRES_NLEG,NR,PL	0.14 	0.12 	0.11 	0.18 	0.21 	0.24 	0.32 	0.44 	0.62 	0.75 	0.82 	0.81 	0.32 	0.35 	0.28 	0.45 
A,PRES_NLEG,NR,PT	: 	1.05 	0.95 	0.87 	0.86 	0.49 	0.43 	0.50 	0.63 	0.58 	0.46 	0.57 	0.31 	0.18 	0.21 	0.15 
A,PRES_NLEG,NR,RO	0.18 	0.21 	0.17 	0.17 	0.11 	0.12 	0.12 	0.10 	0.12 	0.17 	0.13 	0.16 	0.18 	0.56 	0.97 	1.12 
A,PRES_NLEG,NR,SE	: 	2.40 	2.94 	2.21 	2.45 	2.55 	7.55 b	0.15 b	0.12 	0.21 	0.17 	0.21 	0.25 	0.25 	0.23 	0.24 
