freq,reason,citizen,duration,unit,geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,FAM,TOTAL,TOTAL,PER,SK	1138 	1411 	1735 	2541 	2582 	2631 	2894 	3529 	2901 	3707 	4062 	3740 
A,FAM,TOTAL,TOTAL,PER,UK	90879 d	95028 d	96501 d	89936 d	89341 d	101142 	100540 	: 	: 	: 	: 	: 
A,OTH,TOTAL,TOTAL,PER,AT	14699 	12563 	16876 	25092 	25324 	34582 	25298 	18229 	17668 	24797 	27709 	31293 
A,OTH,TOTAL,TOTAL,PER,BE	12964 	11346 	11345 	15066 	20409 	18330 	17092 	13276 	12143 	15347 	17768 	22438 
A,OTH,TOTAL,TOTAL,PER,BG	2442 	2925 	4989 	3554 	3359 	4254 	5184 	5347 	3823 	3769 	3950 	4443 
A,OTH,TOTAL,TOTAL,PER,CH	3589 	4140 	3183 	2293 	2258 	2508 	3136 	2066 	: 	3445 	3372 	3017 
A,OTH,TOTAL,TOTAL,PER,CY	1953 	2215 	2297 	3426 	3940 	3103 	4534 	4428 	3906 	6085 	9369 	6446 
A,OTH,TOTAL,TOTAL,PER,CZ	8224 	10755 	7658 	13950 	15306 	7870 	7028 	9387 	4142 	3491 	4839 	7848 
A,OTH,TOTAL,TOTAL,PER,DE	40325 	43690 	67285 	30786 	282232 	276921 	219141 	165881 	153041 b	190151 	232660 	210651 
A,OTH,TOTAL,TOTAL,PER,DK	2709 	4096 	6492 	11238 	7868 	3494 	2372 	2337 	1266 	2369 	3498 	3675 
A,OTH,TOTAL,TOTAL,PER,EE	348 	316 	300 	368 	431 	386 	318 	310 	281 	350 	2388 	4107 
A,OTH,TOTAL,TOTAL,PER,EL	2538 	5147 	6779 	16307 	17439 	13325 	14818 	18560 	9179 	32942 b	36412 	41041 
A,OTH,TOTAL,TOTAL,PER,ES	12628 	13252 	15915 	15815 	22600 	23180 	24988 	67878 	82909 	73318 	82569 	98793 
A,OTH,TOTAL,TOTAL,PER,EU27_2020	: 	350649 	419749 	434877 	739590 	704701 	594465 	610431 	523221 	701475 	908240 	956646 
A,OTH,TOTAL,TOTAL,PER,FI	3030 	3180 	3195 	3333 	9343 	5064 	2963 	1936 	289 	4655 	5616 	3739 
A,OTH,TOTAL,TOTAL,PER,FR	39881 	41407 	43698 	38122 	45733 	51986 	51794 	58949 	55231 	64436 	68946 	73052 p
A,OTH,TOTAL,TOTAL,PER,HR	: 	382 	379 	404 	482 	461 	499 	615 	610 	433 	821 	968 
A,OTH,TOTAL,TOTAL,PER,HU	2301 	3699 	5551 	4951 	4387 	4379 	7388 	8696 	10393 	5231 	5667 	4289 
